level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	rescued	Lymphoid	USE_34710	0.893	MAN1A1	184
OncotreeLineage	rescued	Lymphoid	USE_30430	0.96	LSM6	136
OncotreeLineage	rescued	Lymphoid	USE_11272	0.963	PHF11	23
OncotreeLineage	rescued	Skin	USE_20241	1.12	RNF144A	20
OncotreeLineage	rescued	Lymphoid	USE_1836	0.943	S1PR1	112
OncotreeLineage	rescued	Lymphoid	USE_32198	1.009	HINT1	20
OncotreeLineage	rescued	Peripheral Nervous System	USE_15371	1.003	ZNF423	164
OncotreeLineage	rescued	Esophagus/Stomach	USE_23515	0.94	ACKR3	190
OncotreeLineage	rescued	Myeloid	USE_42586	0.596	STARD8	5
OncotreeLineage	rescued	Myeloid	USE_23793	0.995	BMP2	283
OncotreeLineage	rescued	Skin	USE_37091	1.228	FIS1	25
OncotreeLineage	rescued	Lymphoid	USE_13297	1.243	TMEM121	284
OncotreeLineage	rescued	Bone	USE_20178	0.964	PXDN	161
OncotreeLineage	rescued	Breast	USE_15826	1.031	MPHOSPH6	170
OncotreeLineage	rescued	CNS/Brain	USE_34283	1.005	EYS	1072
OncotreeLineage	rescued	Liver	USE_8011	1.15	POU2AF1	67
OncotreeLineage	rescued	Bowel	USE_1063	0.997	SLC2A1	68
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_28473	1.367	MECOM	392
OncotreeLineage	rescued	Myeloid	USE_1918	1.074	AKNAD1	36
OncotreeLineage	rescued	Myeloid	USE_1510	0.995	NEGR1	42
OncotreeLineage	rescued	Bone	USE_22358	1.049	ZEB2	1101
OncotreeLineage	rescued	Lymphoid	USE_1607	0.897	MCOLN2	24
OncotreeLineage	rescued	Peripheral Nervous System	USE_27948	1.05	PLXNA1	128
OncotreeLineage	rescued	Skin	USE_2810	0.996	FCGR2B	5
OncotreeLineage	rescued	Lymphoid	USE_1971	0.984	SLC16A4	8
OncotreeLineage	rescued	Lymphoid	USE_22012	0.962	FBLN7	19
OncotreeLineage	rescued	Lung	USE_10232	1.022	ASCL1	3
OncotreeLineage	rescued	Lymphoid	USE_38185	1.035	BLK	19
OncotreeLineage	rescued	Lymphoid	USE_28497	1.092	PHC3	15
OncotreeLineage	rescued	Lymphoid	USE_6530	1.036	IRAG1	21
OncotreeLineage	rescued	Breast	USE_39608	2.009	TRPS1	178
OncotreeLineage	rescued	Myeloid	USE_42721	0.637	DOCK11	91
OncotreeLineage	rescued	Soft Tissue	USE_5930	1.029	RBM20	61
OncotreeLineage	rescued	Myeloid	USE_12897	0.956	SEL1L	73
OncotreeLineage	rescued	Lymphoid	USE_38850	1.126	UBXN2B	115
OncotreeLineage	rescued	Peripheral Nervous System	USE_3692	1.395	HHAT	70
OncotreeLineage	rescued	Lymphoid	USE_28552	1.046	FNDC3B	119
OncotreeLineage	rescued	Lymphoid	USE_18462	1.022	SETBP1	230
OncotreeLineage	rescued	Myeloid	USE_41256	0.881	SPIN1	110
OncotreeLineage	rescued	Skin	USE_6620	0.947	SOX6	158
OncotreeLineage	rescued	Lymphoid	USE_1984	0.993	CD53	10
OncotreeLineage	rescued	Myeloid	USE_42197	0.996	EGFL7	45
OncotreeLineage	rescued	Lymphoid	USE_36037	1.125	ZNRF2	3
OncotreeLineage	rescued	Lymphoid	USE_21262	1.158	XPO1	81
OncotreeLineage	rescued	Myeloid	USE_40193	1.46	SLA	5
OncotreeLineage	rescued	Breast	USE_32575	1.232	NDST1	20
OncotreeLineage	rescued	Lymphoid	USE_21633	1.058	ST3GAL5	23
OncotreeLineage	rescued	Peripheral Nervous System	USE_20435	16.757	DDX1	97
