level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	rescued	Skin	USE_37393	1.302	PTPRZ1	269
OncotreeLineage	rescued	Bowel	USE_32434	1.064	ARHGAP26	128
OncotreeLineage	rescued	Myeloid	USE_11265	1.076	CYSLTR2	180
OncotreeLineage	rescued	Bone	USE_2996	1.187	DNM3	27
OncotreeLineage	rescued	Lymphoid	USE_15176	1.048	IL21R	1
OncotreeLineage	rescued	Myeloid	USE_15900	0.95	GINS2	112
OncotreeLineage	rescued	Lymphoid	USE_33201	1.066	F13A1	99
OncotreeLineage	rescued	Lymphoid	USE_16369	1.001	TNFRSF13B	32
OncotreeLineage	rescued	Head and Neck	USE_6312	0.845	ADGRA1	15
OncotreeLineage	rescued	Liver	USE_22289	1.125	HNMT	47
OncotreeLineage	rescued	Bone	USE_23348	1.028	DAW1	41
OncotreeLineage	rescued	Lymphoid	USE_33480	0.986	RNF144B	67
OncotreeLineage	rescued	Peripheral Nervous System	USE_32617	1.056	HAND1	0
OncotreeLineage	rescued	Myeloid	USE_9089	0.997	FAR2	85
OncotreeLineage	rescued	Skin	USE_8712	1.069	PZP	158
OncotreeLineage	rescued	Lung	USE_33583	1.039	NRSN1	505
OncotreeLineage	rescued	Lymphoid	USE_35309	1.0	FNDC1	244
OncotreeLineage	rescued	Myeloid	USE_20237	1.049	RSAD2	5
OncotreeLineage	rescued	Skin	USE_9158	1.007	BICD1	44
OncotreeLineage	rescued	Testis	USE_2648	1.678	SEMA4A	19
OncotreeLineage	rescued	Testis	USE_37690	0.983	KLRG2	4
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_23871	1.147	JAG1	498
OncotreeLineage	rescued	Peripheral Nervous System	USE_2936	1.312	DPT	21
OncotreeLineage	rescued	Bone	USE_38063	1.225	MYOM2	73
OncotreeLineage	rescued	Breast	USE_32958	1.334	FGFR4	17
OncotreeLineage	rescued	Lymphoid	USE_26409	0.903	TAFA5	575
OncotreeLineage	rescued	Lymphoid	USE_34005	1.03	CCND3	18
OncotreeLineage	rescued	Skin	USE_6713	0.894	SLC5A12	59
OncotreeLineage	rescued	Myeloid	USE_3365	1.221	PTPRC	484
OncotreeLineage	rescued	Peripheral Nervous System	USE_24528	1.154	SULF2	3
OncotreeLineage	rescued	Lymphoid	USE_22569	0.945	CERS6	120
OncotreeLineage	rescued	Lymphoid	USE_27830	1.044	CASR	34
OncotreeLineage	rescued	Peripheral Nervous System	USE_2655	1.468	PAQR6	6
OncotreeLineage	rescued	Head and Neck	USE_10768	1.047	SFSWAP	103
OncotreeLineage	rescued	Skin	USE_31540	0.882	CENPK	9
OncotreeLineage	rescued	Peripheral Nervous System	USE_30646	1.211	FBXO8	212
OncotreeLineage	rescued	Bowel	USE_10869	1.096	SGCG	461
OncotreeLineage	rescued	Myeloid	USE_8838	0.935	ARHGDIB	2
OncotreeLineage	rescued	Lymphoid	USE_42271	0.813	P2RY8	17
OncotreeLineage	rescued	Lymphoid	USE_36020	1.117	PRR15	92
OncotreeLineage	rescued	Myeloid	USE_40201	1.44	NDRG1	23
OncotreeLineage	rescued	Bowel	USE_18115	0.938	APCDD1	187
OncotreeLineage	rescued	Myeloid	USE_15898	0.95	GSE1	113
OncotreeLineage	rescued	Lymphoid	USE_637	1.029	ARID1A	2
OncotreeLineage	rescued	Prostate	USE_7054	1.127	GLYATL1	47
OncotreeLineage	rescued	Lymphoid	USE_2894	1.293	POU2F1	0
OncotreeLineage	rescued	Lymphoid	USE_15268	1.014	ITGAL	24
OncotreeLineage	rescued	Lymphoid	USE_41267	0.992	S1PR3	73
OncotreeLineage	rescued	Soft Tissue	USE_42773	0.677	STK26	148
OncotreeLineage	rescued	Lung	USE_16403	1.061	RAI1	11
OncotreeLineage	rescued	Lymphoid	USE_26697	1.004	PLCL2	242
OncotreeLineage	rescued	Lymphoid	USE_12937	1.009	EFCAB11	152
OncotreeLineage	rescued	Breast	USE_4998	1.007	ANKRD30A	4
OncotreeLineage	rescued	Bone	USE_34738	0.982	CLVS2	189
OncotreeLineage	rescued	Bowel	USE_38566	0.908	ZNF703	99
OncotreeLineage	rescued	Lymphoid	USE_38954	1.188	DNAJC5B	82
OncotreeLineage	rescued	Skin	USE_37927	1.169	DPP6	535
OncotreeLineage	rescued	Lung	USE_11094	0.824	SMAD9	21
OncotreeLineage	rescued	Skin	USE_14260	1.131	PEAK1	79
OncotreeLineage	rescued	Skin	USE_8427	0.906	NTM	95
OncotreeLineage	rescued	Soft Tissue	USE_35385	1.124	PRR18	11
OncotreeLineage	rescued	Myeloid	USE_5940	0.983	ADRA2A	42
OncotreeLineage	rescued	Bone	USE_13088	1.094	VRK1	198
OncotreeLineage	rescued	Lung	USE_14021	1.052	MEGF11	80
OncotreeLineage	rescued	Lymphoid	USE_29900	1.001	ANXA3	31
OncotreeLineage	rescued	Lymphoid	USE_21244	1.112	BCL11A	59
OncotreeLineage	rescued	Lymphoid	USE_38888	1.196	CHD7	14
OncotreeLineage	rescued	Lymphoid	USE_8719	1.09	CLEC2D	27
OncotreeLineage	rescued	Skin	USE_26892	1.053	ITGA9	56
OncotreeLineage	rescued	Skin	USE_2298	1.103	FAM72C	30
OncotreeLineage	rescued	Myeloid	USE_21907	0.992	NCK2	25
OncotreeLineage	rescued	Lymphoid	USE_42040	1.025	RAPGEF1	69
OncotreeLineage	rescued	Breast	USE_13395	0.953	GABRG3	160
OncotreeLineage	rescued	Soft Tissue	USE_19479	1.032	CHST8	28
OncotreeLineage	rescued	Lymphoid	USE_2895	1.293	POU2F1	5
OncotreeLineage	rescued	Lymphoid	USE_14426	1.02	KLHL25	69
OncotreeLineage	rescued	Skin	USE_35240	0.864	ARID1B	115
OncotreeLineage	rescued	Myeloid	USE_37186	1.024	ATXN7L1	62
OncotreeLineage	rescued	Bone	USE_23261	1.051	KCNE4	9
OncotreeLineage	rescued	Myeloid	USE_38897	1.32	CHD7	198
OncotreeLineage	rescued	Esophagus/Stomach	USE_29417	0.803	PPARGC1A	652
OncotreeLineage	rescued	Lung	USE_18106	1.139	VAPA	85
OncotreeLineage	rescued	Lymphoid	USE_30404	0.971	GAB1	15
OncotreeLineage	rescued	Bowel	USE_15791	1.167	CMC2	78
OncotreeLineage	rescued	Lymphoid	USE_25120	0.953	USP25	290
OncotreeLineage	rescued	Lymphoid	USE_28875	1.11	BCL6	345
OncotreeLineage	rescued	Lymphoid	USE_22215	0.859	ANKRD30BL	64
OncotreeLineage	rescued	Peripheral Nervous System	USE_3650	1.409	PLXNA2	330
OncotreeLineage	rescued	Peripheral Nervous System	USE_10745	1.118	STX2	104
OncotreeLineage	rescued	Skin	USE_37023	1.247	ARPC1A	12
OncotreeLineage	rescued	Skin	USE_36120	1.31	SEPTIN7	74
OncotreeLineage	rescued	CNS/Brain	USE_40101	1.012	GSDMC	688
OncotreeLineage	rescued	Head and Neck	USE_11878	0.964	TFDP1	0
OncotreeLineage	rescued	Lymphoid	USE_35570	1.066	MRM2	79
OncotreeLineage	rescued	Lymphoid	USE_24431	1.081	ADA	34
OncotreeLineage	rescued	Lymphoid	USE_4531	0.948	SFMBT2	238
OncotreeLineage	rescued	Myeloid	USE_12618	0.994	MAX	3
OncotreeLineage	rescued	Bone	USE_28940	1.068	IL1RAP	110
OncotreeLineage	rescued	Soft Tissue	USE_14275	0.97	TBC1D2B	6
OncotreeLineage	rescued	Lymphoid	USE_31843	1.025	MEF2C	70
OncotreeLineage	rescued	Peripheral Nervous System	USE_39019	0.998	XKR9	277
OncotreeLineage	rescued	Myeloid	USE_29003	1.03	CPN2	89
OncotreeLineage	rescued	Lymphoid	USE_17478	1.029	AMZ2	48
OncotreeLineage	rescued	Breast	USE_1928	1.057	ELAPOR1	7
OncotreeLineage	rescued	Bone	USE_40760	0.479	MTAP	175
OncotreeLineage	rescued	Myeloid	USE_1995	1.122	C1orf162	2
OncotreeLineage	rescued	Skin	USE_26165	1.235	SOX10	4
OncotreeLineage	rescued	Lymphoid	USE_25317	1.077	CLIC6	215
OncotreeLineage	rescued	Myeloid	USE_12960	0.996	TTC7B	133
OncotreeLineage	rescued	Lung	USE_6443	0.847	OR51E2	15
OncotreeLineage	rescued	Myeloid	USE_41906	0.942	AK1	12
OncotreeLineage	rescued	Myeloid	USE_7559	1.105	DGAT2	93
OncotreeLineage	rescued	Lung	USE_39034	1.182	KCNB2	39
OncotreeLineage	rescued	Lymphoid	USE_36174	1.094	STARD3NL	146
OncotreeLineage	rescued	Lymphoid	USE_41587	1.003	PALM2AKAP2	55
OncotreeLineage	rescued	Lymphoid	USE_22514	0.916	DPP4	39
OncotreeLineage	rescued	Testis	USE_19577	0.784	WDR87	28
OncotreeLineage	rescued	Skin	USE_40532	0.914	RFX3	34
OncotreeLineage	rescued	Lymphoid	USE_36479	1.059	ZNF107	1
OncotreeLineage	rescued	Skin	USE_3228	1.241	IVNS1ABP	32
OncotreeLineage	rescued	Liver	USE_17248	1.034	TUBD1	0
OncotreeLineage	rescued	Kidney	USE_33624	0.91	SLC17A3	22
OncotreeLineage	rescued	Myeloid	USE_25573	1.246	CFAP410	22
OncotreeLineage	rescued	Lung	USE_21216	1.121	CCDC85A	162
OncotreeLineage	rescued	Myeloid	USE_27561	1.008	CMSS1	74
OncotreeLineage	rescued	Skin	USE_22292	0.989	HNMT	2
OncotreeLineage	rescued	Skin	USE_36374	1.277	UPP1	150
OncotreeLineage	rescued	Myeloid	USE_20933	0.975	CDKL4	12
OncotreeLineage	rescued	Bone	USE_11372	0.882	PCDH20	2675
OncotreeLineage	rescued	Bone	USE_38943	1.294	ARMC1	198
OncotreeLineage	rescued	Bone	USE_42914	0.146	TSPY1	27
OncotreeLineage	rescued	Lymphoid	USE_3605	1.249	IL10	28
OncotreeLineage	rescued	Liver	USE_5688	0.983	CYP2C9	60
OncotreeLineage	rescued	Skin	USE_30139	0.842	RPL34	222
OncotreeLineage	rescued	Myeloid	USE_2551	1.128	PGLYRP4	4
OncotreeLineage	rescued	Lymphoid	USE_332	0.956	LRRC38	4
OncotreeLineage	rescued	Lymphoid	USE_33979	1.045	NCR2	3
OncotreeLineage	rescued	Bone	USE_22353	1.049	ZEB2	604
OncotreeLineage	rescued	Lymphoid	USE_5793	0.967	SEC31B	6
OncotreeLineage	rescued	Lymphoid	USE_3675	1.168	TRAF3IP3	0
OncotreeLineage	rescued	Lung	USE_5818	0.912	ARMH3	48
OncotreeLineage	rescued	Lymphoid	USE_5672	1.026	HHEX	51
OncotreeLineage	rescued	Peripheral Nervous System	USE_33125	1.049	TUBB2B	2
OncotreeLineage	rescued	Lymphoid	USE_29351	0.906	RAB28	723
OncotreeLineage	rescued	Skin	USE_7080	0.962	MS4A2	34
OncotreeLineage	rescued	Peripheral Nervous System	USE_20772	1.45	ALK	65
OncotreeLineage	rescued	Lymphoid	USE_15100	1.079	UQCRC2	37
OncotreeLineage	rescued	Myeloid	USE_18602	1.024	BOD1L2	69
OncotreeLineage	rescued	Liver	USE_23343	1.092	SCYGR1	63
OncotreeLineage	rescued	CNS/Brain	USE_11694	0.941	TMTC4	236
OncotreeLineage	rescued	Lymphoid	USE_22280	0.955	CXCR4	122
OncotreeLineage	rescued	Lymphoid	USE_23128	0.983	PECR	22
OncotreeLineage	rescued	Lymphoid	USE_16759	1.098	IKZF3	13
OncotreeLineage	rescued	Lymphoid	USE_24801	1.114	RBM38	8
OncotreeLineage	rescued	Liver	USE_15064	0.897	ACSM5	1
OncotreeLineage	rescued	Myeloid	USE_23429	0.899	INPP5D	49
OncotreeLineage	rescued	Myeloid	USE_40116	1.528	GSDMC	174
OncotreeLineage	rescued	Bone	USE_5620	0.971	FAS	95
OncotreeLineage	rescued	Bone	USE_24021	0.905	NKX2-2	63
OncotreeLineage	rescued	Skin	USE_313	1.006	VPS13D	35
OncotreeLineage	rescued	Bone	USE_22545	1.057	CSRNP3	122
OncotreeLineage	rescued	Lung	USE_12220	1.283	PAX9	101
OncotreeLineage	rescued	Lymphoid	USE_36845	1.07	TMEM243	9
OncotreeLineage	rescued	Liver	USE_25539	0.983	SIK1	45
OncotreeLineage	rescued	Lymphoid	USE_16754	1.098	GRB7	11
OncotreeLineage	rescued	Myeloid	USE_8725	0.974	CD69	34
OncotreeLineage	rescued	Lymphoid	USE_5574	0.916	GRID1	35
OncotreeLineage	rescued	Breast	USE_6943	0.955	TP53I11	60
OncotreeLineage	rescued	Peripheral Nervous System	USE_18519	0.918	SMAD7	75
OncotreeLineage	rescued	Eye	USE_35681	1.165	COL28A1	18
OncotreeLineage	rescued	Bowel	USE_32262	1.049	VDAC1	30
OncotreeLineage	rescued	Lymphoid	USE_14898	1.08	DEXI	46
OncotreeLineage	rescued	Lymphoid	USE_26456	0.902	CHL1	24
OncotreeLineage	rescued	Lymphoid	USE_5076	0.953	ALOX5	10
OncotreeLineage	rescued	Breast	USE_2034	0.984	LRIG2	149
OncotreeLineage	rescued	Lymphoid	USE_21243	1.112	BCL11A	95
OncotreeLineage	rescued	Lymphoid	USE_32682	1.009	EBF1	493
OncotreeLineage	rescued	Myeloid	USE_13441	0.985	GOLGA8Q	13
OncotreeLineage	rescued	Skin	USE_9396	1.037	DIP2B	42
OncotreeLineage	rescued	Peripheral Nervous System	USE_41136	0.977	PSAT1	90
OncotreeLineage	rescued	Lymphoid	USE_19041	1.034	CD70	16
OncotreeLineage	rescued	Skin	USE_32048	1.039	TRIM36	60
OncotreeLineage	rescued	Bone	USE_18006	1.13	DLGAP1	232
OncotreeLineage	rescued	Peripheral Nervous System	USE_29616	1.024	PHOX2B	2
OncotreeLineage	rescued	CNS/Brain	USE_8839	1.014	PDE6H	4
OncotreeLineage	rescued	Lymphoid	USE_31848	1.025	MEF2C	78
OncotreeLineage	rescued	Skin	USE_3753	1.15	RPS6KC1	163
OncotreeLineage	rescued	Lymphoid	USE_24365	1.16	TOP1	142
OncotreeLineage	rescued	Esophagus/Stomach	USE_19729	0.972	PSG3	67
OncotreeLineage	rescued	Myeloid	USE_42252	0.82	PLCXD1	39
OncotreeLineage	rescued	CNS/Brain	USE_40250	0.972	ZFAT	136
OncotreeLineage	rescued	Lymphoid	USE_28877	1.11	BCL6	353
OncotreeLineage	rescued	Lymphoid	USE_29924	0.965	BMP3	46
OncotreeLineage	rescued	Lymphoid	USE_29968	0.944	ARHGAP24	182
OncotreeLineage	rescued	Lymphoid	USE_40491	0.924	FOXD4	67
OncotreeLineage	rescued	Lymphoid	USE_22896	0.971	SLC39A10	89
OncotreeLineage	rescued	Breast	USE_7513	1.249	C2CD3	22
OncotreeLineage	rescued	Myeloid	USE_31850	0.874	MEF2C	267
OncotreeLineage	rescued	Bone	USE_40679	2.054	CER1	1
OncotreeLineage	rescued	Lymphoid	USE_13351	0.909	POTEB3	64
OncotreeLineage	rescued	Peripheral Nervous System	USE_14189	1.145	CCDC33	22
OncotreeLineage	rescued	Bone	USE_8866	1.117	LMO3	147
OncotreeLineage	rescued	Myeloid	USE_26702	1.074	TBC1D5	108
OncotreeLineage	rescued	Myeloid	USE_2443	1.07	FCGR1A	4
OncotreeLineage	rescued	Lymphoid	USE_29321	0.956	DEFB131A	155
OncotreeLineage	rescued	Lymphoid	USE_26831	0.868	OSBPL10	109
OncotreeLineage	rescued	Lymphoid	USE_26824	0.981	STT3B	361
OncotreeLineage	rescued	Lymphoid	USE_3047	1.186	CACYBP	44
OncotreeLineage	rescued	Skin	USE_20776	1.124	ALK	161
OncotreeLineage	rescued	Lymphoid	USE_4580	0.972	CELF2	97
OncotreeLineage	rescued	Lymphoid	USE_35718	1.027	THSD7A	68
OncotreeLineage	rescued	Lymphoid	USE_20146	0.99	ALKAL2	164
OncotreeLineage	rescued	Skin	USE_34694	0.872	PLN	64
OncotreeLineage	rescued	Lymphoid	USE_34430	0.932	RNGTT	140
OncotreeLineage	rescued	Lung	USE_22649	1.093	RAPGEF4	150
OncotreeLineage	rescued	Skin	USE_41050	0.979	KLF9	169
OncotreeLineage	rescued	Bone	USE_4260	1.018	CEP170	259
OncotreeLineage	rescued	Lymphoid	USE_11650	1.051	GPR18	29
OncotreeLineage	rescued	Lymphoid	USE_25122	0.953	USP25	261
OncotreeLineage	rescued	Esophagus/Stomach	USE_20601	1.212	TDRD15	626
OncotreeLineage	rescued	Peripheral Nervous System	USE_37872	1.18	TMEM176B	8
OncotreeLineage	rescued	Lymphoid	USE_21038	0.954	SIX2	126
OncotreeLineage	rescued	Eye	USE_4808	0.821	ANKRD26	22
OncotreeLineage	rescued	Peripheral Nervous System	USE_31480	1.009	GAPT	88
OncotreeLineage	rescued	Peripheral Nervous System	USE_37419	1.099	TMEM229A	8
OncotreeLineage	rescued	Lymphoid	USE_26618	0.985	NUP210	39
OncotreeLineage	rescued	Testis	USE_22178	1.19	HS6ST1	364
OncotreeLineage	rescued	Lymphoid	USE_26714	1.004	SATB1	178
OncotreeLineage	rescued	Myeloid	USE_15141	0.934	CHP2	106
OncotreeLineage	rescued	Bone	USE_23437	1.086	SAG	2
OncotreeLineage	rescued	Skin	USE_27258	1.09	CFAP20DC	358
OncotreeLineage	rescued	Lymphoid	USE_41358	1.035	WNK2	16
OncotreeLineage	rescued	Lymphoid	USE_18581	1.035	TCF4	169
OncotreeLineage	rescued	Peripheral Nervous System	USE_41868	1.054	MVB12B	107
OncotreeLineage	rescued	Lymphoid	USE_27641	0.921	CBLB	540
OncotreeLineage	rescued	Lung	USE_12209	1.214	NKX2-1	9
OncotreeLineage	rescued	Lymphoid	USE_41910	1.021	ST6GALNAC4	3
OncotreeLineage	rescued	Myeloid	USE_35635	0.969	FBXL18	15
OncotreeLineage	rescued	Peripheral Nervous System	USE_13157	0.873	DLK1	39
OncotreeLineage	rescued	Bone	USE_39003	1.418	SLCO5A1	121
OncotreeLineage	rescued	Lymphoid	USE_39488	1.161	DCSTAMP	69
OncotreeLineage	rescued	Lymphoid	USE_33900	1.085	FGD2	10
OncotreeLineage	rescued	Lymphoid	USE_10958	1.017	PAN3	52
OncotreeLineage	rescued	Myeloid	USE_33108	1.109	MYLK4	18
OncotreeLineage	rescued	Lymphoid	USE_13319	1.243	TMEM121	1063
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_12264	1.075	FBXO33	460
OncotreeLineage	rescued	Lymphoid	USE_40222	1.101	ST3GAL1	177
OncotreeLineage	rescued	Bone	USE_39092	1.415	PEX2	274
OncotreeLineage	rescued	Lymphoid	USE_35568	1.066	MRM2	99
OncotreeLineage	rescued	Lymphoid	USE_7063	1.003	MPEG1	1
OncotreeLineage	rescued	Lymphoid	USE_35700	1.127	ICA1	10
OncotreeLineage	rescued	Breast	USE_33277	1.182	TFAP2A	246
OncotreeLineage	rescued	Skin	USE_29030	1.077	FAM43A	214
OncotreeLineage	rescued	Peripheral Nervous System	USE_20207	1.174	COLEC11	12
OncotreeLineage	rescued	Lymphoid	USE_28202	0.957	PLOD2	1029
OncotreeLineage	rescued	Breast	USE_30890	1.398	IRX2	31
OncotreeLineage	rescued	Lymphoid	USE_26667	0.998	METTL6	49
OncotreeLineage	rescued	Skin	USE_17320	1.242	MRC2	32
OncotreeLineage	rescued	Peripheral Nervous System	USE_8099	0.875	BUD13	688
OncotreeLineage	rescued	Myeloid	USE_2300	1.047	FAM72C	47
OncotreeLineage	rescued	Breast	USE_38418	0.758	SCARA3	37
OncotreeLineage	rescued	Skin	USE_30169	0.812	FAM241A	325
OncotreeLineage	rescued	Lymphoid	USE_32085	1.01	TNFAIP8	58
OncotreeLineage	rescued	Lymphoid	USE_20054	0.972	LAIR1	4
OncotreeLineage	rescued	Skin	USE_26891	1.053	ITGA9	8
OncotreeLineage	rescued	Myeloid	USE_27518	0.936	PROS1	455
OncotreeLineage	rescued	Soft Tissue	USE_19833	0.887	IGFL3	11
OncotreeLineage	rescued	Myeloid	USE_13717	1.073	FGF7	12
OncotreeLineage	rescued	Skin	USE_26937	0.977	ZNF621	141
OncotreeLineage	rescued	Peripheral Nervous System	USE_12185	1.149	INSM2	0
OncotreeLineage	rescued	Soft Tissue	USE_2165	1.216	SPAG17	187
OncotreeLineage	rescued	Bone	USE_3243	1.22	HMCN1	240
OncotreeLineage	rescued	Head and Neck	USE_820	1.023	GJB5	1
OncotreeLineage	rescued	Lymphoid	USE_10442	1.025	DTX1	3
OncotreeLineage	rescued	Lymphoid	USE_15531	0.941	CDH11	730
OncotreeLineage	rescued	Lymphoid	USE_49	1.052	GNB1	6
OncotreeLineage	rescued	Skin	USE_5695	0.921	SORBS1	14
OncotreeLineage	rescued	Skin	USE_25653	1.0	OR11H1	2997
OncotreeLineage	rescued	Lymphoid	USE_5414	0.994	CAMK2G	22
OncotreeLineage	rescued	Myeloid	USE_21363	0.966	MEIS1	57
OncotreeLineage	rescued	Myeloid	USE_40120	1.528	GSDMC	101
OncotreeLineage	rescued	CNS/Brain	USE_10542	0.962	CCDC60	104
OncotreeLineage	rescued	Head and Neck	USE_30880	1.366	IRX4	47
OncotreeLineage	rescued	Lymphoid	USE_10995	0.992	UBE2L5	16
OncotreeLineage	rescued	Peripheral Nervous System	USE_7352	1.12	SMIM38	6
OncotreeLineage	rescued	Lymphoid	USE_36565	1.055	AUTS2	245
OncotreeLineage	rescued	Myeloid	USE_42072	0.953	GFI1B	27
OncotreeLineage	rescued	Lymphoid	USE_19509	1.011	FAM187B	11
OncotreeLineage	rescued	Lymphoid	USE_14390	0.997	ZSCAN2	15
OncotreeLineage	rescued	Lymphoid	USE_35857	1.042	SP4	21
OncotreeLineage	rescued	Peripheral Nervous System	USE_38511	0.885	WRN	535
OncotreeLineage	rescued	Kidney	USE_34831	0.913	STX7	34
OncotreeLineage	rescued	Myeloid	USE_39061	1.289	LY96	42
OncotreeLineage	rescued	Breast	USE_2520	1.484	RIIAD1	20
OncotreeLineage	rescued	Lymphoid	USE_1840	0.934	S1PR1	6
OncotreeLineage	rescued	Testis	USE_22686	1.308	CHN1	23
OncotreeLineage	rescued	Skin	USE_39190	1.147	PSKH2	182
OncotreeLineage	rescued	Peripheral Nervous System	USE_13250	0.94	TMEM179	81
OncotreeLineage	rescued	Breast	USE_12670	1.058	RAD51B	32
OncotreeLineage	rescued	Lymphoid	USE_6192	0.956	LHPP	15
OncotreeLineage	rescued	Lymphoid	USE_15956	0.977	KLHDC4	18
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_6121	0.996	FGFR2	13
OncotreeLineage	rescued	Lymphoid	USE_13039	0.992	SERPINA9	7
OncotreeLineage	rescued	Skin	USE_36075	1.234	AVL9	69
OncotreeLineage	rescued	Skin	USE_34949	0.89	NHSL1	13
OncotreeLineage	rescued	Bone	USE_30329	0.9	PCDH18	138
OncotreeLineage	rescued	Skin	USE_23157	1.038	TNP1	302
OncotreeLineage	rescued	Testis	USE_26846	1.09	TRIM71	40
OncotreeLineage	rescued	Bone	USE_25163	0.945	NCAM2	961
OncotreeLineage	rescued	Lymphoid	USE_2757	1.32	CD84	25
OncotreeLineage	rescued	Peripheral Nervous System	USE_40314	1.02	KCNK9	221
OncotreeLineage	rescued	Lymphoid	USE_29196	0.99	TNIP2	55
OncotreeLineage	rescued	Lymphoid	USE_37743	1.129	AGK	45
OncotreeLineage	rescued	Peripheral Nervous System	USE_9604	1.019	SLC16A7	1129
OncotreeLineage	rescued	Lymphoid	USE_10014	1.027	ATP2B1	274
OncotreeLineage	rescued	Skin	USE_26045	0.881	FBXO7	41
OncotreeLineage	rescued	Skin	USE_1578	0.977	TTLL7	981
OncotreeLineage	rescued	Skin	USE_40769	0.448	CDKN2B	150
OncotreeLineage	rescued	Myeloid	USE_5370	1.024	VSIR	34
OncotreeLineage	rescued	CNS/Brain	USE_40673	0.924	ZDHHC21	120
OncotreeLineage	rescued	Skin	USE_24571	1.326	PREX1	1
OncotreeLineage	rescued	Lymphoid	USE_40291	1.004	FAM135B	838
OncotreeLineage	rescued	Peripheral Nervous System	USE_11711	1.042	TPP2	240
OncotreeLineage	rescued	Pleura	USE_36435	1.09	LANCL2	91
OncotreeLineage	rescued	Lymphoid	USE_28309	1.101	MBNL1	109
OncotreeLineage	rescued	Lymphoid	USE_25831	1.038	GNAZ	64
OncotreeLineage	rescued	Myeloid	USE_10760	0.952	ADGRD1	308
OncotreeLineage	rescued	Myeloid	USE_13130	0.99	EVL	11
OncotreeLineage	rescued	Lymphoid	USE_28164	1.034	GRK7	11
OncotreeLineage	rescued	Soft Tissue	USE_11505	0.849	NDFIP2	198
OncotreeLineage	rescued	Lymphoid	USE_1027	1.027	HIVEP3	32
OncotreeLineage	rescued	Bowel	USE_19974	0.935	KLK6	5
OncotreeLineage	rescued	Lymphoid	USE_41525	0.987	SLC44A1	64
OncotreeLineage	rescued	Myeloid	USE_32760	0.906	MAT2B	1692
OncotreeLineage	rescued	Soft Tissue	USE_32878	1.296	BOD1	114
OncotreeLineage	rescued	Lymphoid	USE_36568	1.055	AUTS2	189
OncotreeLineage	rescued	Myeloid	USE_15498	0.943	ADGRG3	15
OncotreeLineage	rescued	Soft Tissue	USE_33262	0.848	SLC35B3	734
OncotreeLineage	rescued	Skin	USE_20902	1.104	CYP1B1	115
OncotreeLineage	rescued	Lymphoid	USE_17397	1.075	RGS9	17
OncotreeLineage	rescued	Ovary/Fallopian Tube	USE_35442	0.897	SMOC2	125
OncotreeLineage	rescued	Lymphoid	USE_7826	0.959	CNTN5	592
OncotreeLineage	rescued	Peripheral Nervous System	USE_2846	1.388	RGS5	27
OncotreeLineage	rescued	Lymphoid	USE_3364	1.247	PTPRC	474
OncotreeLineage	rescued	Lymphoid	USE_33775	1.093	HLA-DOB	1
OncotreeLineage	rescued	Skin	USE_40971	1.0	CNTNAP3B	268
OncotreeLineage	rescued	Breast	USE_26385	0.955	CELSR1	42
OncotreeLineage	rescued	Peripheral Nervous System	USE_20771	1.45	ALK	51
OncotreeLineage	rescued	Kidney	USE_27552	1.035	COL8A1	59
OncotreeLineage	rescued	Myeloid	USE_31479	0.941	GAPT	1
OncotreeLineage	rescued	Bone	USE_24578	1.186	ARFGEF2	86
OncotreeLineage	rescued	Lymphoid	USE_7485	1.127	P2RY2	71
OncotreeLineage	rescued	Breast	USE_40437	1.568	FAM83H	8
OncotreeLineage	rescued	Lymphoid	USE_7613	1.131	NARS2	51
OncotreeLineage	rescued	Lymphoid	USE_9754	1.07	SLC35E3	2
OncotreeLineage	rescued	Lung	USE_27018	0.618	TMEM158	48
OncotreeLineage	rescued	Lymphoid	USE_21703	1.015	RPIA	170
OncotreeLineage	rescued	Breast	USE_7326	1.359	LRP5	38
OncotreeLineage	rescued	Skin	USE_5945	0.893	GPAM	420
OncotreeLineage	rescued	Lymphoid	USE_8815	0.991	ATF7IP	274
OncotreeLineage	rescued	Myeloid	USE_12924	0.957	FOXN3	201
OncotreeLineage	rescued	Skin	USE_14332	1.21	ABHD17C	75
OncotreeLineage	rescued	Lymphoid	USE_31439	1.056	MAP3K1	266
OncotreeLineage	rescued	Myeloid	USE_19109	1.195	PPAN	3
OncotreeLineage	rescued	Lung	USE_32501	1.042	SPINK14	25
OncotreeLineage	rescued	Lymphoid	USE_13461	0.998	KLF13	20
OncotreeLineage	rescued	Peripheral Nervous System	USE_2314	1.154	SRGAP2B	190
OncotreeLineage	rescued	Skin	USE_29026	1.12	FAM43A	134
OncotreeLineage	rescued	Lymphoid	USE_22	1.055	TTLL10	41
OncotreeLineage	rescued	Bowel	USE_11059	1.163	RFC3	123
OncotreeLineage	rescued	Lymphoid	USE_28740	1.095	KLHL6	51
OncotreeLineage	rescued	CNS/Brain	USE_9916	0.892	PAWR	110
OncotreeLineage	rescued	Lymphoid	USE_30138	0.947	LEF1	252
OncotreeLineage	rescued	Lymphoid	USE_39059	1.15	TMEM70	14
OncotreeLineage	rescued	Breast	USE_39551	1.455	TRHR	192
