level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean	dropped
line	SKNDZ	USE_20472	3	0.4906960064489523	0.0	MYCN	162		80.385	True
line	SKNDZ	USE_20471	7	0.5029663933955637	0.0	MYCN	156		80.385	True
line	SKNDZ	USE_20476	13	0.5125704256604053	0.0	MYCN	221		80.385	True
line	SKNDZ	USE_20468	15	0.5151204673897862	0.0	MYCN	126		80.385	True
line	SKNDZ	USE_20442	14	0.5135940761839359	0.0	MYCN	140		80.385	True
line	SKNDZ	USE_20448	9	0.5079031381403385	0.0	MYCN	100		80.385	True
line	SKNDZ	USE_20467	5	0.4967534816425829	0.0	MYCN	130		80.385	True
line	COLO320	USE_10951	12	0.5033561267049906	0.0	CDX2	3	CDX2	78.413	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6119	4	0.2724029594147673	7.27507e-319	FGFR2	125		77.133	True
line	KATOIII	USE_6114	15	0.5577930089283918	1.423409617266e-312	FGFR2	235		77.133	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6120	7	0.335986634944437	6.629941194705037e-223	FGFR2	14		77.133	True
line	KATOIII	USE_6118	1	0.4316861056757893	0.0	FGFR2	200		77.133	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6118	1	0.2421420943299891	0.0	FGFR2	200		77.133	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6114	14	0.3959132700731715	3.307121782579357e-148	FGFR2	235		77.133	True
line	KATOIII	USE_6122	6	0.5044200221791686	0.0	FGFR2	15		77.133	True
line	KATOIII	USE_6119	3	0.4643218953809869	0.0	FGFR2	125		77.133	True
line	KATOIII	USE_6116	2	0.4593057108674492	0.0	FGFR2	225		77.133	True
line	KATOIII	USE_6120	7	0.5110378005928375	0.0	FGFR2	14		77.133	True
line	KATOIII	USE_6121	9	0.5378461432559234	0.0	FGFR2	13		77.133	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6116	3	0.2682758347055214	0.0	FGFR2	225		77.133	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6121	13	0.3763388254329614	6.195715407452839e-171	FGFR2	13		77.133	True
OncotreeSubtype	Signet Ring Cell Carcinoma of the Stomach	USE_6122	6	0.3230051101171263	4.2737755393680567e-241	FGFR2	15		77.133	True
