level	group	se	gene	dist_kb	se_rank	se_fdr	gene_fdr	gene_specific	rho
OncotreeLineage	Esophagus/Stomach	USE_39580	CSMD3	237	9	3.837202078836372e-36	0.045083190037721654	True	0.14172842650362877
OncotreeLineage	Esophagus/Stomach	USE_11776	MYO16	86	10	2.605888949452266e-35	0.8387715936934748	False	0.1677015476480319
OncotreeLineage	Esophagus/Stomach	USE_41205	NTRK2	239	11	8.623946196962468e-34	0.0002245179397090771	True	0.24623776337307418
OncotreeLineage	Esophagus/Stomach	USE_17408	AXIN2	28	12	1.2606951956840116e-29	0.11201653342014556	False	0.44994393429550006
OncotreeLineage	Esophagus/Stomach	USE_5454	LRMDA	258	13	2.3950732029631925e-29	1.0	False	0.35593781434583827
OncotreeLineage	Esophagus/Stomach	USE_27884	KALRN	111	14	2.32305195341733e-28	0.5594506157098906	False	0.3123036324939855
OncotreeLineage	Esophagus/Stomach	USE_42706	LRCH2	46	15	2.7334278597591835e-28	1.0	False	-0.07096448636731441
OncotreeLineage	Eye	USE_1561	IFI44	75	1	3.018985163131016e-72	1.0	False	0.05323377134526999
OncotreeLineage	Eye	USE_36751	GNAI1	199	2	4.086950319402932e-72	0.9003485398240321	False	0.3867254696852225
OncotreeLineage	Eye	USE_4807	ANKRD26	82	3	1.4865240000549012e-69	0.9003485398240321	False	0.14023053948529812
OncotreeLineage	Eye	USE_4806	ANKRD26	100	4	9.097335062007534e-65	0.9003485398240321	False	0.17681088383101265
OncotreeLineage	Eye	USE_36754	GNAT3	224	5	1.6407422843867325e-61	0.9003485398240321	False	0.0655530824082452
OncotreeLineage	Eye	USE_2856	NUF2	362	6	5.463716996508366e-57	0.9003485398240321	False	0.08082501500636648
OncotreeLineage	Eye	USE_10543	CCDC60	98	7	1.6145937131561476e-56	1.0	False	0.0428065891087851
OncotreeLineage	Eye	USE_22346	ZEB2	328	8	2.4495961960868024e-56	0.9003485398240321	False	0.348011640690454
OncotreeLineage	Eye	USE_42435	DMD	871	9	4.41887893506068e-55	0.9003485398240321	False	0.14492059147557027
OncotreeLineage	Eye	USE_41886	GARNL3	7	10	5.8167257351736456e-55	0.9003485398240321	False	0.2827758289524185
OncotreeLineage	Eye	USE_9716	CAND1	60	11	4.445402591079965e-50	0.9003485398240321	False	0.17198476768797788
OncotreeLineage	Eye	USE_15529	CDH11	841	12	4.445402591079965e-50	1.0	False	0.0305562690818724
OncotreeLineage	Eye	USE_10542	CCDC60	104	13	6.2803447391101575e-50	1.0	False	0.018788976015298865
OncotreeLineage	Eye	USE_37424	GPR37	117	14	1.5187072699471016e-49	0.10446290192272158	False	0.24306431114978275
OncotreeLineage	Eye	USE_7737	CHORDC1	1019	15	4.511655301544369e-49	0.9003485398240321	False	0.19479684854990434
OncotreeLineage	Head and Neck	USE_10670	RFLNA	51	1	2.564541223907402e-120	1.0	False	-0.016614854035560005
OncotreeLineage	Head and Neck	USE_37922	ACTR3B	106	2	1.3225200118502256e-117	0.9323931792285268	False	0.1708680025931211
OncotreeLineage	Head and Neck	USE_10524	KSR2	82	3	5.367989313773387e-113	0.9003485398240321	False	0.11409667549861693
OncotreeLineage	Head and Neck	USE_42198	EGFL7	34	4	3.54066537919112e-105	0.9003485398240321	False	0.2116280357822875
OncotreeLineage	Head and Neck	USE_30880	IRX4	47	5	2.65320151086329e-101	1.6686814030622821e-12	True	0.1550718016521985
OncotreeLineage	Head and Neck	USE_6313	KNDC1	12	6	7.857428840286218e-93	1.0	False	0.08907676500989832
OncotreeLineage	Head and Neck	USE_26428	BRD1	203	7	4.08406954091686e-87	0.9003485398240321	False	0.11067184898467755
OncotreeLineage	Head and Neck	USE_8316	ST3GAL4	46	8	8.054851034374932e-83	0.9003485398240321	False	0.2265912096620783
OncotreeLineage	Head and Neck	USE_110	NPHP4	53	9	1.0711449187325766e-78	0.9005142669443553	False	0.1421665510392952
OncotreeLineage	Head and Neck	USE_41363	PHF2	8	10	4.174996010921403e-75	0.9003485398240321	False	0.12719993589435846
OncotreeLineage	Head and Neck	USE_13290	TMEM121	132	11	1.578280597390206e-74	0.9003485398240321	False	0.023052980842409285
OncotreeLineage	Head and Neck	USE_42155	OLFM1	127	12	2.5693707443007605e-74	0.9003485398240321	False	0.19186276337134006
OncotreeLineage	Head and Neck	USE_19052	ZNF557	34	13	2.1978861413371582e-73	0.9003485398240321	False	0.11777485461517256
