ncit_code	n_support	lineage_purity	lineage	primary_disease	subtype	oncotree_code
C5650	1	1.00	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD
C5721	2	1.00	Pancreas	Adenosquamous Carcinoma of the Pancreas	Adenosquamous Carcinoma of the Pancreas	PAASC
C5722	1	1.00	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	PAAD
C5938	1	1.00	Head and Neck	Salivary Carcinoma	Mucoepidermoid Carcinoma	MUCC
C5943	1	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma	OCSC
C6040	1	1.00	Thyroid	Poorly Differentiated Thyroid Cancer	Poorly Differentiated Thyroid Cancer	THPD
C6041	1	1.00	Soft Tissue	Sarcoma, NOS	Sarcoma, NOS	SARCNOS
C6064	1	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Sinonasal Squamous Cell Carcinoma	SNSC
C60781	19	1.00	CNS/Brain	Diffuse Glioma	Astrocytoma	ASTR
C6142	1	1.00	Bladder/Urinary Tract	Urethral Cancer	Urethral Urothelial Carcinoma	UCU
C6261	1	1.00	Ovary/Fallopian Tube	Sex Cord Stromal Tumor	Granulosa Cell Tumor	GRCT
C6290	1	1.00	Uterus	Endometrial Carcinoma	Uterine Adenosquamous Carcinoma	UASC
C6339	1	1.00	Uterus	Uterine Sarcoma/Mesenchymal	Uterine Sarcoma/Mesenchymal	USARC
C6340	2	1.00	Uterus	Uterine Sarcoma/Mesenchymal	Uterine Leiomyosarcoma	ULMS
C6341	5	1.00	Testis	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma	EMBCA
C6476	2	1.00	Bone	Chondrosarcoma	Dedifferentiated Chondrosarcoma	DDCHS
C6496	1	1.00	Soft Tissue	Myxofibrosarcoma	Myxofibrosarcoma	MFS
C6505	3	1.00	Soft Tissue	Liposarcoma	Well-Differentiated Liposarcoma	WDLS
C6534	3	1.00	Soft Tissue	Synovial Sarcoma	Synovial Sarcoma	SYNS
C6586	7	1.00	Soft Tissue	Rhabdoid Cancer	Extrarenal Rhabdoid Cancer	
C6650	4	0.75	Ampulla of Vater	Ampullary Carcinoma	Ampullary Carcinoma	AMPCA
C6728	1	1.00	Bowel	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	COADREAD
