cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_1661	ZR-75-30	Cancer cell line	Breast	Breast Invasive Lobular Carcinoma	depmap	5	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_S186	A-382	Cancer cell line	CNS/Brain	Glioblastoma	cellosaurus_ncit	3	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_M155	BT-12	Cancer cell line	CNS/Brain	Atypical Teratoid/Rhabdoid Tumor	depmap	10	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_M156	BT-16	Cancer cell line	CNS/Brain	Atypical Teratoid/Rhabdoid Tumor	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_UK39	BT67	Cancer cell line	CNS/Brain	Glioblastoma	cellosaurus_ncit	4	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_C1MH	BT869	Cancer cell line	CNS/Brain	Diffuse Intrinsic Pontine Glioma	cellosaurus_ncit	2	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_1155	D283 Med	Cancer cell line	CNS/Brain	Medulloblastoma	depmap	5	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_0018	D341 Med	Cancer cell line	CNS/Brain	Medulloblastoma	depmap	12	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1275	D425	Cancer cell line	CNS/Brain	Medulloblastoma	depmap	5	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1161	D458	Cancer cell line	CNS/Brain	Medulloblastoma	depmap	3	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
