cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_0627	SK-ES-1	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0530	SK-N-MC	Cancer cell line	Bone	Ewing Sarcoma	depmap	12	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_F531	TC-106	Cancer cell line	Bone	Ewing Sarcoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_7151	TC-32	Cancer cell line	Bone	Ewing Sarcoma	depmap	9	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_2213	TC-71	Cancer cell line	Bone	Ewing Sarcoma	depmap	6	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_4988	U-CH1	Cancer cell line	Bone	Chordoma	cellosaurus_ncit	8	Cellosaurus-only	needs pull	lookup (other DB)	DepMap-merged,Progenetix	B	1	
CVCL_4989	U-CH2	Cancer cell line	Bone	Chordoma	depmap	2	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,CMP,COSMIC	B	1	
CVCL_0042	U2OS	Cancer cell line	Bone	Osteosarcoma	depmap	51	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1D68	UM-Chor1	Cancer cell line	Bone		cellosaurus_term	2	Cellosaurus-only	needs pull	lookup (other DB)	DepMap-merged,CMP	B	1	
CVCL_0025	Caco-2	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	3	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_0218	COLO 205	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	5	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
