srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
DRX013177	Digestive tract	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma	1	1	1	22725271	59.1	16.9	4391
DRX013187	Kidney	293	CVCL_0045				0	0	1	40260524	90.8	18.9	38886
DRX013197	Uterus	HeLa	CVCL_0030	ACH-001086	Cervix	Endocervical Adenocarcinoma	0	0	1	73409612	94.6	23.0	74569
DRX013207	Breast	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma	1	1	1	39704080	90.8	21.3	57473
DRX015223	Lung	A-427	CVCL_1055	ACH-000757	Lung	Lung Adenocarcinoma	0	1	1	47750360	97.8	22.1	31157
DRX015232	Lung	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma	1	1	1	14578447	97.2	27.8	29512
DRX015241	Lung	ABC-1	CVCL_1066	ACH-000528	Lung	Lung Adenocarcinoma	1	1	1	30819362	93.3	15.7	52379
DRX015250	Lung	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma	1	1	1	26888051	98.1	11.7	39260
DRX015259	Lung	NCI-H1437	CVCL_1472	ACH-000589	Lung	Lung Adenocarcinoma	1	1	1	21529657	96.9	14.0	46608
DRX015268	Lung	NCI-H1648	CVCL_1482	ACH-000766	Lung	Lung Adenocarcinoma	1	1	1	34727375	94.6	7.8	61705
DRX015277	Lung	NCI-H1650	CVCL_1483	ACH-000035	Lung	Non-Small Cell Lung Cancer	1	1	1	43734304	97.0	14.1	62870
DRX015286	Lung	NCI-H1703	CVCL_1490	ACH-000747	Lung	Lung Squamous Cell Carcinoma	1	1	1	32289459	98.4	19.6	29670
DRX015295	Lung	NCI-H1819	CVCL_1497	ACH-000033	Lung	Lung Adenocarcinoma	0	0	1	24526953	96.7	7.7	50200
DRX015304	Lung	NCI-H1975	CVCL_1511	ACH-000587	Lung	Lung Adenocarcinoma	1	1	1	23759980	97.1	13.4	52915
DRX015313	Lung	NCI-H2126	CVCL_1532	ACH-000785	Lung	Lung Adenocarcinoma	1	1	1	15041147	97.5	8.8	35379
DRX015322	Lung	NCI-H2228	CVCL_1543	ACH-000447	Lung	Lung Adenocarcinoma	1	0	1	35113563	96.9	14.7	58990
DRX015331	Lung	NCI-H2347	CVCL_1550	ACH-000875	Lung	Lung Adenocarcinoma	0	0	1	44320043	82.8	16.7	68992
DRX015340	Lung	NCI-H322	CVCL_1556	ACH-000837	Lung	Lung Adenocarcinoma	1	1	1	41536972	96.5	14.3	50522
DRX015349	Lung	II-18	CVCL_6659				0	0	1	43792837	94.5	16.2	53668
DRX015358	Lung	LC-2/ad	CVCL_1373	ACH-002157	Lung	Lung Adenocarcinoma	0	0	1	37272939	97.4	14.1	78766
DRX015367	Lung	PC-14	CVCL_1640	ACH-000030	Lung	Lung Adenocarcinoma	1	1	1	29337174	97.1	17.2	34456
DRX015376	Prostate	PC-3	CVCL_0035	ACH-000090	Prostate	Prostate Adenocarcinoma	1	1	1	30229917	96.7	17.8	30744
DRX015385	Lung	PC-7	CVCL_A786				0	0	1	22095915	96.7	9.6	48051
DRX015394	Lung	PC-9	CVCL_B260	ACH-000779	Lung	Lung Adenocarcinoma	0	0	1	39316775	94.5	8.6	58010
DRX015403	Lung	RERF-LC-Ad1	CVCL_1651	ACH-000791	Lung	Lung Adenocarcinoma	1	1	1	27803320	96.2	14.7	54564
DRX015412	Lung	RERF-LC-Ad2	CVCL_1652	ACH-000774	Lung	Lung Adenocarcinoma	0	1	1	35253309	93.9	12.4	51437
DRX015421	Lung	RERF-LC-KJ	CVCL_1654	ACH-000482	Lung	Lung Adenocarcinoma	0	0	1	31062574	97.7	10.8	56365
DRX015430	Lung	RERF-LC-MS	CVCL_1655	ACH-000062	Lung	Lung Adenocarcinoma	1	0	1	19393271	91.7	8.2	36236
DRX015439	Lung	RERF-LC-OK	CVCL_3154				0	0	1	29340272	94.3	11.7	61765
DRX015448	Lung	VMRC-LCD	CVCL_1787	ACH-001233	Lung	Lung Adenocarcinoma	0	1	1	24569063	97.4	17.0	44652
DRX019512	Lung	SAEC					0	0	1	52190630	97.8	5.8	72372
DRX041639	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	31244144	91.8	4.9	20305
DRX041641	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	26014583	94.4	3.4	20047
DRX059622	Blood	HB1119	CVCL_8227	ACH-001736	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	1	1	0	34012841	99.2	4.4	891
DRX113858	Blood	CAL-1	CVCL_G085				0	0	1	27095215	99.0	6.4	10198
DRX113860	Blood	CAL-1	CVCL_G085				0	0	1	28319014	98.9	7.4	11954
DRX230605	Epidermis	A2058	CVCL_1059	ACH-000788	Skin	Melanoma	1	1	1	21939025	97.3	7.5	31297
DRX230606	Epidermis	A2058	CVCL_1059	ACH-000788	Skin	Melanoma	1	1	1	26767361	96.8	7.1	35325
DRX313732	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	43333615	85.3	33.5	7068
DRX313733	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	51586796	93.9	34.8	9405
DRX313734	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	49701851	73.2	39.6	14458
DRX313735	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	0	17071229	85.0	52.6	56
DRX313736	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	62474105	96.3	58.1	31854
DRX313737	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	79700920	93.2	53.6	10483
DRX313738	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	42904770	96.7	27.1	7967
DRX313739	Liver	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma	1	1	1	51939962	63.2	69.9	25499
DRX335587	Blood	T cells					0	0	1	62734521	98.2	29.9	17887
DRX335588	Blood	T cells					0	0	1	65454328	98.4	9.2	9240
DRX335596	Blood	TBX-4B					0	0	1	51818525	98.2	9.3	11705
DRX335597	Blood	TBX-4B					0	0	1	80203844	96.7	12.3	9582
DRX337648	Kidney	293	CVCL_0045				0	0	1	32032825	92.6	3.0	1273
DRX402472	Uterus	Fallopian tube secretory epithelial cell					0	0	1	71727606	99.0	11.0	15160
DRX402474	Uterus	Fallopian tube secretory epithelial cell					0	0	1	63395041	99.0	11.1	8428
DRX402476	Uterus	Fallopian tube secretory epithelial cell					0	0	1	73611688	98.9	10.8	8460
DRX402478	Uterus	Fallopian tube secretory epithelial cell					0	0	1	91392221	99.0	11.2	15825
DRX402480	Uterus	Fallopian tube secretory epithelial cell					0	0	1	67929671	93.8	9.6	11018
DRX431470	Liver	JHH-7	CVCL_2805	ACH-000848	Liver	Hepatocellular Carcinoma	1	1	1	46765733	91.5	16.5	34854
DRX444243	Epidermis	HFF-1	CVCL_3285				0	0	0	30183846	95.2	13.5	629
DRX444244	Epidermis	HFF-1	CVCL_3285				0	0	0	25401739	94.9	12.2	253
DRX444245	Epidermis	HFF-1	CVCL_3285				0	0	1	23195563	95.6	13.7	1025
DRX444246	Epidermis	HFF-1	CVCL_3285				0	0	0	22836293	95.7	13.7	677
DRX444247	Epidermis	HFF-1	CVCL_3285				0	0	0	22699366	94.0	12.3	569
DRX444248	Epidermis	HFF-1	CVCL_3285				0	0	0	24594745	94.2	14.1	410
ERX1103210	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	6350852	99.2	6.2	9791
ERX1103211	Unclassified	Unclassified					0	0	1	6536711	99.2	17.2	6700
ERX1103215	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	5941902	98.9	6.0	12381
ERX1103216	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	6755048	99.2	5.7	9660
ERX1103217	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	6612334	98.8	14.9	11195
ERX1103223	Unclassified	Unclassified					0	0	1	6446428	99.2	6.6	6121
ERX1103224	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	6700426	99.0	9.6	11661
ERX1103225	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	6516601	99.2	7.3	12985
ERX1103227	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	0	5614651	97.9	85.6	56
ERX1103229	Unclassified	Unclassified					0	0	1	7458946	99.2	6.4	10914
ERX1103231	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	6101748	99.1	7.6	11286
ERX1126164	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8318729	99.1	7.4	13073
ERX1126165	Unclassified	Unclassified					0	0	1	8561663	99.0	21.0	9534
ERX1126169	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	7779969	98.6	7.1	15314
ERX1126170	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8920464	99.1	6.8	12880
ERX1126171	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8695974	98.7	18.2	13584
ERX1126177	Unclassified	Unclassified					0	0	1	8458186	99.1	7.9	8784
ERX1126178	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8824900	98.9	11.7	14263
ERX1126179	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	8518232	99.0	8.7	15947
ERX1126181	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	0	7376435	97.9	88.2	60
ERX1126183	Unclassified	Unclassified					0	0	1	9706683	99.1	7.6	14363
ERX1126185	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	7971052	99.0	9.2	13894
ERX1126189	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8337912	99.2	7.4	13015
ERX1126190	Unclassified	Unclassified					0	0	1	8602481	99.1	21.1	9562
ERX1126194	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	7810537	98.7	7.2	15338
ERX1126195	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8952160	99.2	6.8	12891
ERX1126196	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8722368	98.8	18.2	13613
ERX1126202	Unclassified	Unclassified					0	0	1	8482760	99.1	7.9	8808
ERX1126203	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8860246	98.9	11.7	14309
ERX1126204	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	8550240	99.1	8.7	15956
ERX1126206	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	0	7401016	97.9	88.2	62
ERX1126208	Unclassified	Unclassified					0	0	1	9741575	99.1	7.6	14458
ERX1126210	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	7994334	99.0	9.2	13889
ERX1126214	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8361022	99.2	7.4	12999
ERX1126215	Unclassified	Unclassified					0	0	1	8621740	99.1	21.1	9525
ERX1126219	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	7828793	98.7	7.2	15475
ERX1126220	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8969894	99.2	6.8	12921
ERX1126221	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8753794	98.8	18.3	13663
ERX1126227	Unclassified	Unclassified					0	0	1	8509517	99.2	8.0	8838
ERX1126228	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8876089	98.9	11.8	14316
ERX1126229	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	8568039	99.1	8.8	16056
ERX1126231	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	0	7422211	97.9	88.3	65
ERX1126233	Unclassified	Unclassified					0	0	1	9767717	99.2	7.7	14489
ERX1126235	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8009133	99.0	9.2	13854
ERX1126239	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	8414275	99.2	7.5	13195
ERX1126240	Unclassified	Unclassified					0	0	1	8673735	99.1	21.2	9660
ERX1126244	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	7882520	98.7	7.2	15502
ERX1126245	Blood	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia	1	1	1	9033071	99.2	6.8	12962
ERX1126246	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8811162	98.8	18.4	13661
ERX1126252	Unclassified	Unclassified					0	0	1	8559902	99.2	8.0	8825
ERX1126253	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8938987	99.0	11.8	14330
ERX1126254	Blood	MEG-01	CVCL_0425	ACH-000072	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	0	0	1	8619588	99.1	8.8	16079
ERX1126256	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	0	7470053	97.9	88.4	68
ERX1126258	Unclassified	Unclassified					0	0	1	9825940	99.2	7.7	14464
ERX1126260	Blood	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	8062673	99.1	9.3	13922
ERX1276013	Blood	UT-7	CVCL_2233	ACH-001230	Myeloid	Acute Megakaryoblastic Leukemia	0	0	1	10983289	98.5	8.2	8201
ERX1276014	Blood	UT-7	CVCL_2233	ACH-001230	Myeloid	Acute Megakaryoblastic Leukemia	0	0	1	9584866	98.7	5.7	11667
ERX1276031	Blood	UT-7	CVCL_2233	ACH-001230	Myeloid	Acute Megakaryoblastic Leukemia	0	0	1	15559266	98.6	11.2	12102
ERX1276032	Blood	UT-7	CVCL_2233	ACH-001230	Myeloid	Acute Megakaryoblastic Leukemia	0	0	1	13774742	99.4	8.8	2931
ERX1276049	Blood	UT-7	CVCL_2233	ACH-001230	Myeloid	Acute Megakaryoblastic Leukemia	0	0	1	15660179	98.6	11.3	12077
ERX1276050	Blood	UT-7	CVCL_2233	ACH-001230	Myeloid	Acute Megakaryoblastic Leukemia	0	0	1	13865365	98.7	8.0	16115
ERX2242383	Breast	Mammary epithelial cells					0	0	0	12940180	96.4	65.9	130
ERX2242389	Breast	Mammary epithelial cells					0	0	0	22589469	93.7	80.5	141
ERX2242395	Breast	Mammary epithelial cells					0	0	0	14825595	96.1	69.1	142
ERX2242401	Breast	Mammary epithelial cells					0	0	0	26043002	93.2	82.5	160
ERX2242408	Breast	Mammary epithelial cells					0	0	0	43326315	97.1	84.1	169
ERX2242413	Breast	Mammary epithelial cells					0	0	0	43049212	95.7	83.2	308
ERX2869654	Lung	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma	1	1	1	52355292	96.9	13.7	36236
ERX2869658	Lung	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma	1	1	1	52577831	98.7	18.9	22603
ERX2869662	Lung	BEAS-2B	CVCL_0168				0	0	1	55460835	98.6	15.8	21468
ERX2869666	Lung	BEAS-2B	CVCL_0168				0	0	1	48978021	98.2	17.0	26658
ERX371661	Breast	Mammary epithelial cells					0	0	0	5877826	37.8	81.6	33
ERX371665	Breast	Mammary epithelial cells					0	0	0	5842258	39.9	90.9	3
ERX371669	Breast	Mammary epithelial cells					0	0	0	5755937	72.4	77.5	293
ERX371672	Breast	Mammary epithelial cells					0	0	1	7481845	99.8	62.1	1442
ERX371676	Breast	Mammary epithelial cells					0	0	0	5783050	37.7	81.6	29
ERX371680	Breast	Mammary epithelial cells					0	0	0	5741038	39.9	90.8	3
ERX371684	Breast	Mammary epithelial cells					0	0	0	5659879	72.4	77.4	295
ERX371687	Breast	Mammary epithelial cells					0	0	1	7356672	99.8	64.0	5343
ERX371691	Breast	Mammary epithelial cells					0	0	0	7091881	35.9	82.5	41
ERX371695	Breast	Mammary epithelial cells					0	0	0	8287878	38.5	92.3	5
ERX371699	Breast	Mammary epithelial cells					0	0	0	6091308	99.8	78.8	85
ERX371702	Breast	Mammary epithelial cells					0	0	1	9715475	90.9	67.8	5738
ERX371706	Breast	Mammary epithelial cells					0	0	0	6966499	35.8	82.4	35
ERX371710	Breast	Mammary epithelial cells					0	0	0	8192730	38.5	92.3	2
ERX371714	Breast	Mammary epithelial cells					0	0	0	5982714	71.5	77.9	309
ERX371717	Breast	Mammary epithelial cells					0	0	1	9587651	90.9	67.7	5753
ERX626788	Blood	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia	1	1	0	5110649	98.4	15.2	91
ERX626798	Blood	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia	1	1	0	5185805	98.4	15.3	83
ERX626808	Blood	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia	1	1	0	8704730	98.7	11.6	354
ERX626814	Blood	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia	1	1	1	8060802	94.4	11.8	1113
ERX626818	Blood	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia	1	1	0	8690736	98.7	11.4	340
ERX626824	Blood	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia	1	1	1	8078126	94.4	11.7	1166
ERX626827	Blood	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia	1	0	1	9782567	96.7	4.3	15416
ERX626830	Blood	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia	1	0	1	12555445	95.7	2.6	20737
ERX626833	Blood	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia	1	0	1	10196422	99.3	3.2	16999
ERX626839	Blood	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia	1	0	1	9927533	96.7	4.4	15604
ERX626842	Blood	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia	1	0	1	12727843	95.7	2.7	20964
ERX626845	Blood	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia	1	0	1	10342286	99.3	3.3	17146
ERX989273	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	19051651	98.5	3.8	26193
ERX989276	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	19903097	98.5	4.0	26986
ERX989283	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	19525110	98.5	3.9	26495
ERX989286	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	20360579	98.5	4.0	27224
ERX989293	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	20212793	99.1	4.1	11347
ERX989296	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	21007174	98.4	4.1	27516
SRX019495	Adipocyte	Adipose stromal cell					0	0	1	17353917	44.2	4.5	29735
SRX019502	Adipocyte	Adipose stromal cell					0	0	1	18089117	55.9	6.2	36728
SRX019509	Adipocyte	Adipose stromal cell					0	0	1	22163577	48.3	4.4	36058
SRX019516	Adipocyte	Adipose stromal cell					0	0	1	22214031	55.8	9.2	33874
SRX027485	Pluripotent stem cell	hESC H9					0	0	1	21842457	85.8	3.9	32883
SRX027493	Pluripotent stem cell	hESC derived neural cells					0	0	1	36175605	86.0	3.0	14413
SRX038506	Blood	GM12878	CVCL_7526				0	0	1	27005602	39.3	10.7	20732
SRX038507	Blood	GM12878	CVCL_7526				0	0	1	9788207	73.6	4.4	16076
SRX038526	Pluripotent stem cell	hESC H1					0	0	1	19169877	88.0	5.6	7871
SRX038545	Liver	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma	1	1	1	10030634	91.2	6.9	21648
SRX038546	Liver	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma	1	1	1	6485461	94.5	4.1	18192
SRX038564	Breast	HMEC					0	0	1	19351875	67.7	4.9	33577
SRX038565	Breast	HMEC					0	0	1	13891947	85.9	19.6	14920
SRX038584	Muscle	HSMM	CVCL_W472				0	0	1	18491678	76.0	11.0	30617
SRX038585	Muscle	HSMM	CVCL_W472				0	0	1	20106800	55.6	5.7	35648
SRX038604	Cardiovascular	HUVEC	CVCL_2959				0	0	1	22676505	74.7	11.3	39869
SRX038605	Cardiovascular	HUVEC	CVCL_2959				0	0	1	22400279	57.2	20.3	27544
SRX038624	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	23536048	69.0	14.6	26782
SRX038625	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	15025660	56.4	19.3	14925
SRX038646	Epidermis	NHEK					0	0	1	17640033	74.5	9.6	37164
SRX038647	Epidermis	NHEK					0	0	1	25549682	46.1	5.8	33289
SRX038666	Lung	NHLF					0	0	1	10150214	91.8	4.2	14299
SRX038667	Lung	NHLF					0	0	1	12299607	77.0	8.7	26196
SRX047075	Prostate	LNCAP	CVCL_0395				0	0	1	13561511	98.0	3.0	29568
SRX047076	Prostate	LNCAP	CVCL_0395				0	0	1	12838080	97.8	3.1	28960
SRX059363	Pluripotent stem cell	hESC derived neural crests					0	0	1	22877482	86.1	5.2	32064
SRX061991	Breast	HCC1954	CVCL_1259	ACH-000859	Breast	Breast Ductal Carcinoma In Situ	1	1	1	31728702	82.4	10.2	57665
SRX067397	Lung	NHLF					0	0	1	22449821	83.7	7.6	34514
SRX067407	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	38561708	64.1	17.6	32227
SRX067411	Breast	HMEC					0	0	1	33243822	75.3	13.0	42721
SRX067413	Epidermis	NHDF					0	0	1	67095982	75.1	19.2	37052
SRX067417	Muscle	HSMM	CVCL_W472				0	0	1	25361587	87.7	25.2	51167
SRX067425	Epidermis	NHEK					0	0	1	43189715	57.6	9.7	51886
SRX067435	Uterus	HeLa	CVCL_0030	ACH-001086	Cervix	Endocervical Adenocarcinoma	0	0	1	51868873	82.5	12.5	39786
SRX067442	Cardiovascular	HUVEC	CVCL_2959				0	0	1	45076784	66.1	17.2	48686
SRX067469	Pluripotent stem cell	hESC H1					0	0	1	42403502	84.9	6.1	10958
SRX067490	Bone	Osteobl					0	0	1	70675957	82.4	17.4	61904
SRX067494	Liver	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma	1	1	1	16516095	92.5	7.8	30693
SRX067506	Muscle	HSMM	CVCL_W472				0	0	1	38598478	65.4	10.5	51666
SRX067514	Neural	NH-A					0	0	1	32865822	81.2	9.2	52937
SRX067522	Blood	GM12878	CVCL_7526				0	0	1	36793809	48.4	9.6	30928
SRX093182	Blood	Monocytes					0	0	1	63570962	98.2	46.3	41043
SRX093188	Blood	Macrophages					0	0	1	66100255	98.0	34.8	56043
SRX10000141	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	24773968	99.0	15.1	34890
SRX10000142	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	31170025	99.0	24.1	40752
SRX10000143	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	23002191	99.1	10.5	35243
SRX10000144	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	23323510	98.9	12.8	29739
SRX10000145	Pancreas	Pancreatic ductal adenocarcinoma					0	0	1	25264076	98.8	9.5	21529
SRX10000146	Pancreas	Pancreatic ductal adenocarcinoma					0	0	1	22383886	98.8	13.9	19375
SRX10000147	Pancreas	Pancreatic ductal adenocarcinoma					0	0	1	19921767	99.0	10.4	21922
SRX10000148	Pancreas	Pancreatic ductal adenocarcinoma					0	0	1	37704459	98.8	18.0	24289
SRX10000149	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	25824246	99.0	8.3	39228
SRX10000150	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	18083351	99.0	7.6	31385
SRX10000151	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	12106530	98.8	6.5	22203
SRX10000152	Pancreas	CFPAC-1	CVCL_1119	ACH-000138	Pancreas	Pancreatic Adenocarcinoma	0	1	1	52089336	73.1	7.0	50149
SRX10003024	Pluripotent stem cell	iPSC derived cardiac cells					0	0	1	27600174	97.7	33.2	30561
SRX10003025	Pluripotent stem cell	iPSC derived cardiac cells					0	0	1	27834371	97.8	40.5	29359
SRX10003026	Pluripotent stem cell	hESC derived cardiac cells					0	0	1	27358417	98.1	34.3	29228
SRX10003027	Pluripotent stem cell	hESC derived cardiac cells					0	0	1	24325597	98.1	28.5	29127
SRX10024483	Breast	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma	1	1	1	18752999	97.7	2.2	12501
