srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
SRX16791300	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	30090901	97.8	18.3	28605
SRX16791301	Blood	OCI-LY-3	CVCL_8800	ACH-000158	Lymphoid	Activated B-cell Type	0	0	1	19918101	98.5	14.9	22028
SRX16791302	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	17826846	95.5	19.8	25091
SRX16791303	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	23415788	97.6	16.2	24594
SRX16791304	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	19238119	95.5	17.5	21777
SRX16791305	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	25400926	96.4	16.0	21693
SRX16791306	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	0	2641	43.4	3.1	0
SRX16791307	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	18654947	97.7	13.9	19597
SRX16791308	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	18570845	93.1	23.6	22932
SRX16791309	Blood	VAL	CVCL_1819	ACH-001703	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS	1	0	1	14764044	96.2	10.7	14177
SRX16811328	Neural	hTERT RPE-1	CVCL_4388				0	0	1	20376046	99.2	12.4	47529
SRX16811329	Neural	hTERT RPE-1	CVCL_4388				0	0	1	22230002	99.2	13.6	51893
SRX16811469	Epidermis	A-375	CVCL_0132	ACH-000219	Skin	Melanoma	1	1	1	223170101	56.1	32.5	18603
SRX1681510	Pancreas	Pancreatic acinar cells					0	0	1	38413481	98.5	60.9	30499
SRX1681511	Pancreas	Pancreatic ducts					0	0	1	37503681	99.5	67.6	30445
SRX1681512	Pancreas	Pancreatic ducts					0	0	1	46208329	99.3	54.8	48910
SRX1681513	Pancreas	Pancreatic acinar cells					0	0	1	20089552	49.6	55.9	7327
SRX1681514	Pancreas	Pancreatic endocrine cells					0	0	1	22388190	70.3	52.2	9488
SRX16830140	Cardiovascular	EA.hy926	CVCL_3901				0	0	1	22882123	98.7	3.6	35142
