srx	cell	cvcl	model_id	lineage	subtype
SRX3931099	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931100	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3931101	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX3934730	CHP-134	CVCL_1124	ACH-001338	Peripheral Nervous System	Neuroblastoma
SRX398094	Jurkat	CVCL_0065	ACH-000995	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX398297	COLO 741	CVCL_1133	ACH-000582	Skin	Melanoma
SRX398300	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX3995684	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995689	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995694	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995699	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995704	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995709	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995714	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX3995719	MDA-MB-436	CVCL_0623	ACH-000573	Breast	Breast Invasive Carcinoma, NOS
SRX4001937	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX4047422	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX4047423	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX4047424	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX4047425	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX4047426	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX4047427	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX4115998	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX4115999	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX4142975	DMS 114	CVCL_1174	ACH-000530	Lung	SMARCA4-deficient undifferentiated tumor
SRX4142977	DMS 114	CVCL_1174	ACH-000530	Lung	SMARCA4-deficient undifferentiated tumor
SRX4142979	DMS 79	CVCL_1178	ACH-000703	Lung	Small Cell Lung Cancer
SRX4142981	DMS 79	CVCL_1178	ACH-000703	Lung	Small Cell Lung Cancer
SRX4142983	NCI-H1048	CVCL_1453	ACH-000866	Lung	Small Cell Lung Cancer
