srx	cell	cvcl	model_id	lineage	subtype
DRX013177	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma
DRX013207	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
DRX015232	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
DRX015241	ABC-1	CVCL_1066	ACH-000528	Lung	Lung Adenocarcinoma
DRX015250	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
DRX015259	NCI-H1437	CVCL_1472	ACH-000589	Lung	Lung Adenocarcinoma
DRX015268	NCI-H1648	CVCL_1482	ACH-000766	Lung	Lung Adenocarcinoma
DRX015277	NCI-H1650	CVCL_1483	ACH-000035	Lung	Non-Small Cell Lung Cancer
DRX015286	NCI-H1703	CVCL_1490	ACH-000747	Lung	Lung Squamous Cell Carcinoma
DRX015304	NCI-H1975	CVCL_1511	ACH-000587	Lung	Lung Adenocarcinoma
DRX015313	NCI-H2126	CVCL_1532	ACH-000785	Lung	Lung Adenocarcinoma
DRX015322	NCI-H2228	CVCL_1543	ACH-000447	Lung	Lung Adenocarcinoma
DRX015340	NCI-H322	CVCL_1556	ACH-000837	Lung	Lung Adenocarcinoma
DRX015367	PC-14	CVCL_1640	ACH-000030	Lung	Lung Adenocarcinoma
DRX015376	PC-3	CVCL_0035	ACH-000090	Prostate	Prostate Adenocarcinoma
DRX015403	RERF-LC-Ad1	CVCL_1651	ACH-000791	Lung	Lung Adenocarcinoma
DRX015430	RERF-LC-MS	CVCL_1655	ACH-000062	Lung	Lung Adenocarcinoma
DRX041639	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
DRX041641	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
DRX230605	A2058	CVCL_1059	ACH-000788	Skin	Melanoma
DRX230606	A2058	CVCL_1059	ACH-000788	Skin	Melanoma
DRX313732	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313733	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313734	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313736	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313737	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313738	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX313739	SNU-475	CVCL_0497	ACH-000422	Liver	Hepatocellular Carcinoma
DRX431470	JHH-7	CVCL_2805	ACH-000848	Liver	Hepatocellular Carcinoma
ERX1103210	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1103216	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1103217	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1103224	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1103231	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126164	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126170	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126171	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126178	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126185	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126189	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126195	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126196	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126203	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126210	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126214	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126220	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126221	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126228	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126235	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126239	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126245	HEL 92.1.7	CVCL_2481	ACH-000005	Myeloid	Acute Myeloid Leukemia
ERX1126246	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126253	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX1126260	KU812	CVCL_0379	ACH-000074	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX2869654	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
ERX2869658	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
ERX626814	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia
ERX626824	U-937	CVCL_0007	ACH-000406	Myeloid	Acute Myeloid Leukemia
ERX626827	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia
ERX626830	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia
ERX626833	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia
ERX626839	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia
ERX626842	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia
ERX626845	CHRF-288-11	CVCL_A280	ACH-003273	Myeloid	Acute Megakaryoblastic Leukemia
ERX989273	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX989276	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX989283	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX989286	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX989293	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
ERX989296	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX038545	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX038546	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX038624	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX038625	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX061991	HCC1954	CVCL_1259	ACH-000859	Breast	Breast Ductal Carcinoma In Situ
SRX067407	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX067494	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX10024483	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024484	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024485	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024486	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024495	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024496	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024497	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10024498	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX1002799	HT-1080	CVCL_0317	ACH-000054	Soft Tissue	Fibrosarcoma
SRX1002800	HT-1080	CVCL_0317	ACH-000054	Soft Tissue	Fibrosarcoma
SRX10030484	SW 480	CVCL_0546	ACH-000842	Bowel	Colon Adenocarcinoma
SRX10030485	SW 480	CVCL_0546	ACH-000842	Bowel	Colon Adenocarcinoma
SRX10030486	SW 480	CVCL_0546	ACH-000842	Bowel	Colon Adenocarcinoma
SRX10030487	SW 480	CVCL_0546	ACH-000842	Bowel	Colon Adenocarcinoma
SRX10030488	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX10030489	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX10030490	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX10030491	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX10030492	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX10030493	HT-29	CVCL_0320	ACH-000552	Bowel	Colon Adenocarcinoma
SRX10045318	PC-3	CVCL_0035	ACH-000090	Prostate	Prostate Adenocarcinoma
SRX10045319	PC-3	CVCL_0035	ACH-000090	Prostate	Prostate Adenocarcinoma
SRX10045335	CAL-51	CVCL_1110	ACH-000856	Breast	Invasive Breast Carcinoma
SRX1004564	MSTO-211H	CVCL_1430	ACH-000335	Pleura	Pleural Mesothelioma, Biphasic Type
SRX1013327	HuCCT1	CVCL_0324	ACH-000976	Biliary Tract	Intrahepatic Cholangiocarcinoma
SRX1013328	HuCCT1	CVCL_0324	ACH-000976	Biliary Tract	Intrahepatic Cholangiocarcinoma
SRX1013878	Hep G2	CVCL_0027	ACH-000739	Liver	Hepatoblastoma
SRX10144610	Kasumi-1	CVCL_0589	ACH-000263	Myeloid	Acute Myeloid Leukemia
SRX10144611	Kasumi-1	CVCL_0589	ACH-000263	Myeloid	Acute Myeloid Leukemia
SRX101484	PANC-1	CVCL_0480	ACH-000164	Pancreas	Pancreatic Adenocarcinoma
SRX10168819	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168820	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168821	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168822	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168823	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168824	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168825	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168826	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10168827	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10184470	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10184471	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10184472	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10184486	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10184507	OCI-AML3	CVCL_1844	ACH-000336	Myeloid	Acute Myeloid Leukemia
SRX10184509	MV-4-11	CVCL_0064	ACH-000045	Myeloid	Acute Myeloid Leukemia
SRX10184513	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10187484	SJCRH30	CVCL_0041	ACH-000833	Soft Tissue	Alveolar Rhabdomyosarcoma
SRX10187485	SJCRH30	CVCL_0041	ACH-000833	Soft Tissue	Alveolar Rhabdomyosarcoma
SRX10187521	SJSA-1	CVCL_1697	ACH-000748	Bone	Osteosarcoma
SRX10187522	SJSA-1	CVCL_1697	ACH-000748	Bone	Osteosarcoma
SRX10187568	NCI-H929	CVCL_1600	ACH-000050	Lymphoid	Plasma Cell Myeloma
SRX10187569	NCI-H929	CVCL_1600	ACH-000050	Lymphoid	Plasma Cell Myeloma
SRX10187631	HAP1	CVCL_Y019	ACH-002475	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10187632	HAP1	CVCL_Y019	ACH-002475	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+
SRX10187823	WERI-Rb-1	CVCL_1792	ACH-001421	Eye	Retinoblastoma
SRX10187824	WERI-Rb-1	CVCL_1792	ACH-001421	Eye	Retinoblastoma
SRX10198029	A-673	CVCL_0080	ACH-000052	Bone	Ewing Sarcoma
SRX10198033	A-673	CVCL_0080	ACH-000052	Bone	Ewing Sarcoma
SRX10205595	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205596	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205597	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205598	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205603	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205604	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205605	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205606	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205617	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205618	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205619	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10205620	CAL-120	CVCL_1104	ACH-000212	Breast	Invasive Breast Carcinoma
SRX10231451	NCI-H69	CVCL_1579	ACH-000358	Lung	Small Cell Lung Cancer
SRX10231454	NCI-H69	CVCL_1579	ACH-000358	Lung	Small Cell Lung Cancer
SRX1023262	NGP	CVCL_2141	ACH-001366	Peripheral Nervous System	Neuroblastoma
SRX10270339	SU-DHL-4	CVCL_0539	ACH-000365	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS
SRX10270340	SU-DHL-4	CVCL_0539	ACH-000365	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS
SRX10306421	MV-4-11	CVCL_0064	ACH-000045	Myeloid	Acute Myeloid Leukemia
SRX10306423	MV-4-11	CVCL_0064	ACH-000045	Myeloid	Acute Myeloid Leukemia
SRX10306428	T-47D	CVCL_0553	ACH-000147	Breast	Breast Invasive Ductal Carcinoma
SRX10306477	T-47D	CVCL_0553	ACH-000147	Breast	Breast Invasive Ductal Carcinoma
SRX10346801	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10346802	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10346803	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX10346804	A549	CVCL_0023	ACH-000681	Lung	Lung Adenocarcinoma
SRX1035326	CAL-51	CVCL_1110	ACH-000856	Breast	Invasive Breast Carcinoma
SRX1035327	CAL-51	CVCL_1110	ACH-000856	Breast	Invasive Breast Carcinoma
SRX1035328	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX1035329	MDA-MB-231	CVCL_0062	ACH-000768	Breast	Invasive Breast Carcinoma
SRX1035330	MDA-MB-231	CVCL_0062	ACH-000768	Breast	Invasive Breast Carcinoma
SRX1035337	T-47D	CVCL_0553	ACH-000147	Breast	Breast Invasive Ductal Carcinoma
SRX1035338	ZR-75-1	CVCL_0588	ACH-000097	Breast	Breast Invasive Ductal Carcinoma
SRX1041803	Jurkat	CVCL_0065	ACH-000995	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10424883	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX10424884	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX10469833	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10469834	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10469835	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10469836	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX1048486	REC-1	CVCL_1884	ACH-000068	Lymphoid	Mantle Cell Lymphoma
SRX1048488	SU-DHL-4	CVCL_0539	ACH-000365	Lymphoid	Diffuse Large B-Cell Lymphoma, NOS
SRX10567340	HCT 116	CVCL_0291	ACH-000971	Bowel	Colon Adenocarcinoma
SRX10567347	HCT 116	CVCL_0291	ACH-000971	Bowel	Colon Adenocarcinoma
SRX10580016	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma
SRX10580017	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma
SRX10580018	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma
SRX10580019	DLD-1	CVCL_0248	ACH-001061	Bowel	Colon Adenocarcinoma
SRX10609529	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10609530	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10609531	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10609532	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
SRX10644676	UM-UC-1	CVCL_2743	ACH-000834	Bladder/Urinary Tract	Bladder Urothelial Carcinoma
SRX10644677	UM-UC-1	CVCL_2743	ACH-000834	Bladder/Urinary Tract	Bladder Urothelial Carcinoma
SRX10644678	UM-UC-1	CVCL_2743	ACH-000834	Bladder/Urinary Tract	Bladder Urothelial Carcinoma
SRX10644679	UM-UC-1	CVCL_2743	ACH-000834	Bladder/Urinary Tract	Bladder Urothelial Carcinoma
SRX10652947	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX10652948	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX10652949	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX10652950	NCI-H1299	CVCL_0060	ACH-000510	Lung	Large Cell Lung Carcinoma
SRX10653566	A2780	CVCL_0134	ACH-000657	Ovary/Fallopian Tube	Endometrioid Ovarian Cancer
SRX10653574	A2780	CVCL_0134	ACH-000657	Ovary/Fallopian Tube	Endometrioid Ovarian Cancer
SRX10660630	SMS-CTR	CVCL_A770	ACH-001196	Soft Tissue	Embryonal Rhabdomyosarcoma
SRX10660631	SMS-CTR	CVCL_A770	ACH-001196	Soft Tissue	Embryonal Rhabdomyosarcoma
SRX10660632	SMS-CTR	CVCL_A770	ACH-001196	Soft Tissue	Embryonal Rhabdomyosarcoma
SRX10715410	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX10715411	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX10715412	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX10715413	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia
SRX10760259	SUP-M2	CVCL_2209	ACH-000226	Lymphoid	Anaplastic Large-Cell Lymphoma ALK Positive
SRX10760261	SR-786	CVCL_1711	ACH-000338	Lymphoid	Anaplastic Large-Cell Lymphoma ALK Positive
SRX10760263	SU-DHL-1	CVCL_0538	ACH-000664	Lymphoid	Anaplastic Large-Cell Lymphoma ALK Positive
SRX10760265	FE-PD	CVCL_H614	ACH-001068	Lymphoid	Anaplastic Large-Cell Lymphoma ALK Negative
SRX10760267	Mac-2A	CVCL_H637	ACH-001119	Lymphoid	Anaplastic Large-Cell Lymphoma ALK Negative
SRX10760620	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760621	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760622	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760623	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760624	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760625	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760626	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760627	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760628	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760630	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760635	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760636	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760637	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760638	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760639	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760640	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760649	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760650	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760651	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760652	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760653	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10760654	MM.1S	CVCL_8792	ACH-000763	Lymphoid	Plasma Cell Myeloma
SRX10773076	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX10773077	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX10773078	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX10773079	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX10773080	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX10773081	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX10774895	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774896	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774897	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774898	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774899	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774900	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774901	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774902	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774903	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX10774904	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX1078949	LP-1	CVCL_0012	ACH-000204	Lymphoid	Plasma Cell Myeloma
SRX1078950	LP-1	CVCL_0012	ACH-000204	Lymphoid	Plasma Cell Myeloma
SRX10829243	U2OS	CVCL_0042	ACH-000364	Bone	Osteosarcoma
SRX10829244	U2OS	CVCL_0042	ACH-000364	Bone	Osteosarcoma
SRX10829245	U2OS	CVCL_0042	ACH-000364	Bone	Osteosarcoma
SRX10829246	U2OS	CVCL_0042	ACH-000364	Bone	Osteosarcoma
SRX10859404	BT-549	CVCL_1092	ACH-000288	Breast	Breast Invasive Carcinoma, NOS
SRX10859405	BT-549	CVCL_1092	ACH-000288	Breast	Breast Invasive Carcinoma, NOS
SRX10881825	BT-16	CVCL_M156	ACH-001020	CNS/Brain	Atypical Teratoid/Rhabdoid Tumor
SRX10881826	G-401	CVCL_0270	ACH-000096	Kidney	Rhabdoid Cancer
SRX10881827	BT-16	CVCL_M156	ACH-001020	CNS/Brain	Atypical Teratoid/Rhabdoid Tumor
SRX10881828	G-401	CVCL_0270	ACH-000096	Kidney	Rhabdoid Cancer
SRX10889820	A-673	CVCL_0080	ACH-000052	Bone	Ewing Sarcoma
SRX10889822	A-673	CVCL_0080	ACH-000052	Bone	Ewing Sarcoma
SRX10976043	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976044	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976045	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976046	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976047	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976048	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976049	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976050	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976051	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976052	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976053	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976054	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976055	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976056	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976057	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX10976058	697	CVCL_0079	ACH-000070	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1
SRX10976059	697	CVCL_0079	ACH-000070	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1
SRX10976060	697	CVCL_0079	ACH-000070	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1
