srx	gsm	name	cell_group	cell_line	cell_type	antibody
SRX730809	GSM1523571	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX730811	GSM1523573	H3K27ac (@ B-cell (CD19+))	Blood		follicular lymphoma	acetylated H3K27 (Abcam, catalog# ab4739, lot# GR144577-1)
SRX2339190	GSM2386720	H3K27ac (@ B cells)	Blood		germinal center B cell	Active Motif-Histone H3K27Ac (Rabbit polyclonal)
SRX2339192	GSM2386722	H3K27ac (@ B cells)	Blood		germinal center B cell	Active Motif-Histone H3K27Ac (Rabbit polyclonal)
SRX6351511	GSM3901521	H3K27ac (@ HAP1)	Blood		haploid human cell line that was derived from KBM7 cells (purchased from Horizon)	H3K27ac (#ab4729, Abcam)
SRX6351512	GSM3901522	H3K27ac (@ HAP1)	Blood		haploid human cell line that was derived from KBM7 cells (purchased from Horizon)	H3K27ac (#ab4729, Abcam)
SRX5169132	GSM3523234	H3K27ac (@ Erythroid progenitors)	Blood		human HSPC-derived early erythroid progenitors	
SRX5169140	GSM3523241	H3K27ac (@ Erythroid Precursor Cells)	Blood		human HSPC-derived late erythroid precursors	
SRX14007828	GSM5856261	H3K27ac (@ Lymphoblastoid cell line)	Blood		human lymphoblastoid cell line	
SRX14007829	GSM5856262	H3K27ac (@ Lymphoblastoid cell line)	Blood		human lymphoblastoid cell line	
SRX9626202	GSM4955046	H3K27ac (@ Monocytes)	Blood		human monocyte-derived macrophages	H3K27ac (abcam,ab4729)
SRX9626205	GSM4955049	H3K27ac (@ Monocytes)	Blood		human monocyte-derived macrophages	H3K27ac (abcam,ab4729)
SRX5930132	GSM3831272	H3K27ac (@ Acute myeloid leukemia)	Blood		human t(8;21) AML cells	ACH3K27 (Abcam, ab96005)
SRX5930133	GSM3831273	H3K27ac (@ Acute myeloid leukemia)	Blood		human t(8;21) AML cells	ACH3K27 (Abcam, ab96005)
SRX5930134	GSM3831274	H3K27ac (@ Acute myeloid leukemia)	Blood		human t(8;21) AML cells	ACH3K27 (Abcam, ab96005)
SRX5930135	GSM3831275	H3K27ac (@ Acute myeloid leukemia)	Blood		human t(8;21) AML cells	ACH3K27 (Abcam, ab96005)
SRX11160810	GSM5374344	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11160811	GSM5374345	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11160959	GSM5374566	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11160960	GSM5374567	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11161792	GSM5375526	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11161967	GSM5379430	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11161968	GSM5379431	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11163299	GSM5370262	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11163300	GSM5370263	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11163423	GSM5370330	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11167577	GSM5377069	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX11167578	GSM5377071	H3K27ac (@ Natural Killer T-Cells)	Blood		immature natural killer cell	
SRX9309774	GSM4835941	H3K27ac (@ HL-60)	Blood	leukemia cell line HL60		H3K27ac
SRX9309775	GSM4835942	H3K27ac (@ HL-60)	Blood	leukemia cell line HL60		H3K27ac
SRX4288365	GSM3212819	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288366	GSM3212820	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288367	GSM3212821	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288368	GSM3212822	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288369	GSM3212823	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288370	GSM3212824	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288371	GSM3212825	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288372	GSM3212826	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288373	GSM3212827	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288374	GSM3212828	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288375	GSM3212829	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288376	GSM3212830	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288377	GSM3212831	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288378	GSM3212832	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288379	GSM3212833	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288380	GSM3212834	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288381	GSM3212835	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288382	GSM3212836	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288383	GSM3212837	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288384	GSM3212838	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288385	GSM3212839	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288386	GSM3212840	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288387	GSM3212841	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288388	GSM3212842	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288389	GSM3212843	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288465	GSM3212919	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288466	GSM3212920	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288467	GSM3212921	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288468	GSM3212922	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288469	GSM3212923	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX4288470	GSM3212924	H3K27ac (@ Lymphoblastoid cell line)	Blood	lymphoblastoid cell lines (LCLs)		H3K27ac (Abcam, #ab4729)
SRX10270335	GSM5141208	H3K27ac (@ WSU-DLCL2)	Blood		lymphoma cells	H3K27ac
SRX10270336	GSM5141210	H3K27ac (@ WSU-DLCL2)	Blood		lymphoma cells	H3K27ac
SRX10270339	GSM5141217	H3K27ac (@ SU-DHL-4)	Blood		lymphoma cells	H3K27ac
SRX10270340	GSM5141218	H3K27ac (@ SU-DHL-4)	Blood		lymphoma cells	H3K27ac
SRX16500339	GSM6373686	H3K27ac (@ Memory B cells)	Blood		memory B cell	
SRX16500340	GSM6373687	H3K27ac (@ Memory B cells)	Blood		memory B cell	
SRX1286401	GSM1893231	H3K27ac (@ CD4+ T cells)	Blood		memory T conventional cells (CD4+ CD25- CD45RO+) from donor 24	
SRX1286405	GSM1893235	H3K27ac (@ CD4+ T cells)	Blood		memory T conventional cells (CD4+ CD25- CD45RO+) from donor 60	
SRX1397387	GSM1921312	H3K27ac (@ CD34+)	Blood		mobilized peripheral blood CD34+ cells	anti-H3K27ac
SRX1397392	GSM1921317	H3K27ac (@ CD34+)	Blood		mobilized peripheral blood CD34+ cells	anti-H3K27ac
SRX1397398	GSM1921323	H3K27ac (@ CD34+)	Blood		mobilized peripheral blood CD34+ cells	anti-H3K27ac
SRX1397404	GSM1921329	H3K27ac (@ CD34+)	Blood		mobilized peripheral blood CD34+ cells	anti-H3K27ac
SRX1397409	GSM1921334	H3K27ac (@ CD34+)	Blood		mobilized peripheral blood CD34+ cells	anti-H3K27ac
SRX4521386	GSM3324468	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521387	GSM3324469	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521388	GSM3324470	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
SRX4521390	GSM3324472	H3K27ac (@ Macrophages)	Blood		monocyte derived macrophage	Histone H3 lysine 27 acetyl, Active Motif #39133, (H3K27ac)
